norm_id	document_id	section_id	page	formulation_sha256	page_text_match_status
N-O005-05	01_BOIS_Base_Core_v2.22_EN.pdf	n-o005-05	72	16854897bf68136db47b7e5bc5eed21ac0f16fd73203b409bc23731aefe8cabf	PASS
N-O005-06	01_BOIS_Base_Core_v2.22_EN.pdf	n-o005-06	73	6c592ee11681b15d2fb033ea545260fbc1137462954e288494780939bbd587fb	PASS
N-O005-07	01_BOIS_Base_Core_v2.22_EN.pdf	n-o005-07	73	63b3403551a81d3a11fc78176c4123975b60cfc122f33f3e7c860049b07d272d	PASS
N-O005-10	01_BOIS_Base_Core_v2.22_EN.pdf	n-o005-10	74	31d15b646eeeddfb29f5db79c799d641eb5182d8493fae78f9b37535580219ad	PASS
N-O006-01	01_BOIS_Base_Core_v2.22_EN.pdf	n-o006-01	74	86fba3bbd48254599c2b6389efe7041dd61bdbcb50b63c98d3ce4899a3c5bcab	PASS
N-O006-02	01_BOIS_Base_Core_v2.22_EN.pdf	n-o006-02	75	2acd0ed597dfb917eae014b87b108ae6839160e87d6e8322db0ba91f521f5fcd	PASS
N-O006-03	01_BOIS_Base_Core_v2.22_EN.pdf	n-o006-03	75	4872e0415cb175772450541141fbf951afd012e975c89bf08ba0184b26fe5052	PASS
N-O006-04	01_BOIS_Base_Core_v2.22_EN.pdf	n-o006-04	76	68ca6896a438dcc832d90ed02248d4deb462bfba6b83563eb7a703687a918567	PASS
N-O006-05	01_BOIS_Base_Core_v2.22_EN.pdf	n-o006-05	76	ab7991c063fc16c6d5e2fb9a54983f40d2d75084f49a28cf9fad764df5f954a5	PASS
N-O006-06	01_BOIS_Base_Core_v2.22_EN.pdf	n-o006-06	77	948a0b1e33d131cc90d28119ae934abcdc9660ce7c5a741456066a93122e300b	PASS
N-O006-07	01_BOIS_Base_Core_v2.22_EN.pdf	n-o006-07	77	f95740ed3fa04fac73549fcfc9919580f4631534b644e4c45ba9ad32f5cfb0c6	PASS
N-O006-10	01_BOIS_Base_Core_v2.22_EN.pdf	n-o006-10	78	74bfdc6e0d48c6957443553100545cc46fa274d6a1b97d7f1aa9154229c7371e	PASS
N-O007-01	01_BOIS_Base_Core_v2.22_EN.pdf	n-o007-01	78	3bd83acfe4e6c504de9f5908e9a495bb923a41c538d65286e815995802345907	PASS
N-O007-02	01_BOIS_Base_Core_v2.22_EN.pdf	n-o007-02	79	ea038169284d4e78e8c6aeb8fbc5861f24882d3ede6d8e5c07a83148578ad487	PASS
N-O007-03	01_BOIS_Base_Core_v2.22_EN.pdf	n-o007-03	79	f9909cc5e511c068f6acb4b6d1dd664322d94f966cb2639ae9b9ec59a88a233e	PASS
